RoomID|Name|Description|North|South|East|West       *Starting Room: CH-1*
GH-01|Front Gate|Iron bars and crooked hinges barely left standing. A couple chains sway in the wind clanking against metal. Warning signs bolted to the gate show signs of fading, their letters scratched away. Weeds and growth grow in the cracks on the cobblestone pathway.|GH-02|null|RD-01|null
GH-02|Guard Post|A small room with a shattered window and chair toppled on the floor. Old logbooks can be found in the desk with some pages torn out. A dusty lantern is hanging from the door.|null|GH-01|GH-03|GH-04
GH-03|Cells|Iron bars line the left side of the wall. Scratch marks are on the wall and a moldy mattress sits on the floor on the cell. It smells of mildew and dust, and there is barely any light in the room.|null|null|null|GH-02
GH-04|Armory|Multiple wooden racks that once held weapons are lined on the wall. There are some broken and rusted weapons left on some. There is a case that looks like it holds ammo in a corner. You see a blackened wall as if something exploded in here.|null|null|GH-02|null
SL-01|Bar Room|Long wooden tables dot the floor with some flipped on their side. The counter is splintered and a few broken bottles. An old chandelier is swaying from the ceiling, creaking as if it might break.|SL-04|RD-02|SL-02|SL-03
SL-02|Kitchen|Pots and pans hang above a stove. Rotten food can be found in broken crates. Sacks of flour have been chewed through by rats.|null|null|null|SL-01
SL-03|Gambling Room|A round poker table with mugs of beer and cards scattered around. Cards are laid out with mid-round poker hands. Coins are stacked indicating the previous ante. It looks like the game ended abruptly.|null|null|SL-01|null
SL-04|Cellar/Storage|The cellar is cold and damp, lined with barrels with some leaking dark stains onto the floor. Broken crates block one side of the room. The air is almost suffocating down here.|null|SL-01|null|null
GS-01|Shop Floor|Empty shelves stretch across the floor, their stock long gone. A broken cash register sits on the counter. Advertisement posters are peeling off the walls showing old products for sale.|RD-02|GS-03|GS-02|null
GS-02|Storage Room|Labeled crates are stacked high against the walls. A couple are pried open revealing rusty tools. There is a broken lantern on the floor and a window that casts long shadows on the floor.|null|null|null|GS-01
GS-03|Office|A small office with a desk and old ledger book still open. Receipts are pinned to the wall in neat lines. There is a safe in the corner that looks to be intact.|GS-01|null|GS-04|null
GS-04|Living Quarters|A modest bedroom with a made bed covered in dust. Faded photos are on the dresser with the faces no longer visible. An old rocking chair is near the only window in the room.|null|null|null|GS-03
CH-01|Nave|Wooden pews are arranged in rows, some are splintered or overturned. The altar at the front has ripped fabric hanging off of it. Colored light seeps in through the stained glass windows.|CH-03|RD-03|CH-02|CH-04
CH-02|Pastor’s Study|Bookshelves line the wall with multiple books lying on the floor. An open journal lies on the desk with an unfinished entry. A candle is burned down to the stub with wax pooled on the desk.|null|null|null|CH-01
CH-03|Bell Tower|A steep, narrow staircase leads to a large iron bell. The rope is barely attached and looks like the bell might fall. One side of the stone floor has caved in leaving a hole on the floor. Most of the town is visible from here.|null|CH-01|null|null
CH-04|Confessional Booth|A narrow wooden booth with carvings on the sides and a thin dividing screen. The screen is ripped so both sides are visible from inside. Scratches mark the interior walls of the booth.|null|null|CH-01|null
GY-01|Graveyard|Crooked tombstones just from the ground with some broken in half. Most of the names have faded away and are unreadable. Iron fences surround the perimeter with some of the points broken off. One of the graves looks to have recently disturbed soil.|null|null|RD-03|null
TH-01|Meeting Room|Rows of chairs face a raised podium at the front of the room. The floorboards creak loudly as if they might break.|RD-01|null|TH-02|null
TH-02|Mayor’s Office|A large oak desk is in the center of the room covered in unopened letters. A portrait hangs behind the chair crooked. Filing cabinets are open with some files left on the floor.|null|TH-03|null|TH-01
TH-03|Records|Shelves packed with folders line the walls from the floor to ceiling. Some documents are torn or burnt as if covering something up. An old ladder rests against the shelves covered in cobwebs. The smell of old paper and smoke fills the room.|TH-02|null|null|null
RD-01|Center Crossroads|Central intersection in the town.|RD-03|TH-01|RD-02|GH-01
RD-02|East Road|A dusty stretch leading to store fronts.|SL-01|GS-01|null|RD-01
RD-03|Church Path|Thin dirt path with iron fencing.|CH-01|RD-01|null|GY-01
